year,concourse,test,gender,age,value
2024,hd,100mt_run,M,20,10.09141512392633
2024,hd,100mt_run,M,21,9.68800476812785
2024,hd,100mt_run,M,20,10.225135358741937
2024,hd,100mt_run,M,18,10.282169414917364
2024,hd,100mt_run,M,21,9.41468944340385
2024,hd,100mt_run,M,21,9.609346147941304
2024,hd,100mt_run,M,21,11.563920201583644
2024,hd,100mt_run,M,21,11.34187870382821
2024,hd,100mt_run,M,21,11.491599421247855
2024,hd,100mt_run,M,23,11.07347803621321
2024,hd,100mt_run,M,19,11.939698987431415
2024,hd,100mt_run,M,20,11.888895967714474
2024,hd,100mt_run,M,22,11.533015348780609
2024,hd,100mt_run,M,17,12.063620603484017
2024,hd,100mt_run,M,20,11.733754671126023
2024,hd,100mt_run,M,18,11.07035376855838
2024,hd,100mt_run,M,19,11.68437539204125
2024,hd,100mt_run,M,20,11.0205586995855
2024,hd,100mt_run,M,17,11.939225150653636
2024,hd,100mt_run,M,18,11.475037044506873
2024,hd,100mt_run,M,17,11.40756881822737
2024,hd,100mt_run,M,19,11.15953522779803
2024,hd,100mt_run,M,18,12.111270669337015
2024,hd,100mt_run,M,22,11.422735258965599
2024,hd,100mt_run,M,19,11.285836088918446
2024,hd,100mt_run,M,22,11.323933224755885
2024,hd,100mt_run,M,19,14.032309185553348
2024,hd,100mt_run,M,20,13.865444064364079
2024,hd,100mt_run,M,20,13.912732611595988
2024,hd,100mt_run,M,20,13.930821003007882
2024,hd,100mt_run,M,18,15.641647600870462
2024,hd,100mt_run,M,20,13.093584983615385
2024,hd,100mt_run,M,20,12.987757270928462
2024,hd,100mt_run,M,20,12.686227271752122
2024,hd,100mt_run,M,20,14.115979422575496
2024,hd,100mt_run,M,18,14.628972292720892
2024,hd,100mt_run,M,19,13.386052542345125
2024,hd,100mt_run,M,19,12.659843523037472
2024,hd,100mt_run,M,17,12.67551878430876
2024,hd,100mt_run,M,20,14.150592787824701
2024,hd,100mt_run,M,19,14.243254171203443
2024,hd,100mt_run,M,19,14.043154268305194
2024,hd,100mt_run,M,23,12.834490292711306
2024,hd,100mt_run,M,20,13.73216132306672
2024,hd,100mt_run,M,20,13.616685809140728
2024,hd,100mt_run,M,21,13.718688596729013
2024,hd,100mt_run,M,21,14.37142877794819
2024,hd,100mt_run,M,22,13.723595548774682
2024,hd,100mt_run,M,19,14.178913563071895
2024,hd,100mt_run,M,22,13.567579069488891
2024,hd,100mt_run,M,19,13.789119398689984
2024,hd,100mt_run,M,18,14.13128822583854
2024,hd,100mt_run,M,18,12.042844180144334
2024,hd,100mt_run,M,21,13.180328783642699
2024,hd,100mt_run,M,21,13.029627345707205
2024,hd,100mt_run,M,21,12.861122151756659
2024,hd,100mt_run,M,18,13.224857748773315
2024,hd,100mt_run,M,19,14.994941311234395
2024,hd,100mt_run,M,18,12.634168884306757
2024,hd,100mt_run,M,17,14.468278354591481
2024,hd,100mt_run,M,19,11.817130228384196
2024,hd,100mt_run,M,22,13.165114970014224
2024,hd,100mt_run,M,21,13.662753065105006
2024,hd,100mt_run,M,18,14.086222331359279
2024,hd,100mt_run,M,21,14.211226579792855
2024,hd,100mt_run,M,19,14.293347235199926
2024,hd,100mt_run,M,20,13.151274927751562
2024,hd,100mt_run,M,21,13.037648207335433
2024,hd,100mt_run,M,19,14.357975881257154
2024,hd,100mt_run,M,18,13.308695675118384
2024,hd,100mt_run,M,20,12.224313676662078
2024,hd,100mt_run,M,19,12.36671278599652
2024,hd,100mt_run,M,19,12.580547713998389
2024,hd,100mt_run,M,20,13.997160744053764
2024,hd,100mt_run,M,19,13.642425736070566
2024,hd,100mt_run,M,20,14.190485354067768
2024,hd,100mt_run,M,18,13.072747353663466
2024,hd,100mt_run,M,21,13.658539691076713
2024,hd,100mt_run,M,18,14.125590393967336
2024,hd,100mt_run,M,19,13.190653460279762
2024,hd,100mt_run,M,17,13.956775237557412
2024,hd,100mt_run,M,21,12.83807405893335
2024,hd,100mt_run,M,20,13.136946153434929
2024,hd,100mt_run,M,20,13.118262106001671
